1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,
1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,
1,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,
1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
1,2,1,1,1,1,2,1,2,4,4,3,3,3,4,4,2,1,2,1,1,1,1,2,1,
1,2,2,2,2,1,2,1,2,4,5,5,5,5,5,4,2,1,2,1,2,2,2,2,1,
1,1,1,1,2,1,2,1,2,4,5,8,8,8,8,4,2,1,2,1,2,1,1,1,1,
1,2,2,2,2,1,2,1,2,4,4,4,4,4,4,4,2,1,2,1,2,2,2,2,1,
1,2,1,1,2,1,2,1,2,2,2,2,7,2,2,2,2,1,2,1,2,1,1,2,1,
1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,
1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,
1,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
